Chapter,Location,Context Spanish,Context English,Latitude,Longitude,Number of Characters,Character 1,Character 2,Character 3,Character 4,Character 5,Exactness,Exact,Reality,Page,Category,Structure Type
4,Aparcamiento,El aparcamiento donde le asaltaron a Marsé,Parking garage where Marsé was assaulted,40.472139,-3.683866,1,Marsé,,,,,Medium,Yes,Real,86,Cuerpo,Municipal
4,Bar de enemigos,El bar donde Torca y los compadres beben,"Torca and the ""compadres"" meet up here",40.426503,-3.64179,4,Torca,Jandro,Borja,Luisito,,Low,No,Fictional,90,Investigador,Bar Restaurant
4,Cafetería cerca del hotelucho,Rodrigo quiere que Torca salga de Madrid,"Rodrigo and Torca meet here, Rodrigo wants Torca to leave Madrid",40.422005,-3.709516,2,Torca,Rodrigo,,,,Low,No,Fictional,97,Investigador,Bar Restaurant
5,Oficina de Laguna & Campbell,Edificio donde Torca lee informacion que la compania de Luisito ha conseguido sobre periodistas y más,Building where Laguna has his detective agency; Torca reads documents obtained by Luisito,40.425368,-3.686833,2,Torca,Luisito,,,,Low,No,Fictional,109,Investigador,Business
5,Cafetería de diseño,Café donde Torca y Luisito continúan su conversacion sobre las circunstancias del negocio entre Luisito y Marsé,Torca and Luisito continue their conversation on the Marsé case here,40.423753,-3.685131,2,Torca,Luisito,,,,Low,No,Fictional,111,Investigador,Bar Restaurant
5,Torre de Cristal,Torca va a tratar de hablar con Laforet,Torca attempts to meet with Laforet in his office,40.478337,-3.686934,1,Torca,Laforet,,,,High,Yes,Real,123,Sospechoso,Monument
5,Estación de Atocha,Torca guarde dinero y el Glock aquí,Torca stores money and a pistol in the lockers here,40.406639,-3.687173,1,Torca,,,,,High,Yes,Real,127,Investigador,Transport
6,Inmobiliaria,Torca quiere alquilar un apartamento nuevo,Torca decides to rent an apartment and leave the hotel,40.420938,-3.706113,1,Torca,,,,,Low,No,Fictional,140,Investigador,Business
6,El sushi bar,El lugar donde Ribeyro y Torca hablan,Place where Torca and Ribeyro meet,40.452295,-3.68901,2,Torca,Ribeyro,,,,High,No,Real,139,Sospechoso,Bar Restaurant
6,Calle Padre Damián,"Ribeyro aparca en Calle Padre Damián, los dos van andando hacia allá, la conversación sigue cerca de su coche","Torca and Ribeyro walk together to where Ribeyro parked his car, conversation continues",40.457336,-3.685673,2,Torca,Ribeyro,,,,Medium,No,Real,148,Sospechoso,Exterior
7,La nueva casa de Torca,Torca se muda a su nuevo apartamento,Torca moves into his new apartment,40.420931,-3.70692,1,Torca,,,,,Low,No,Fictional,155,Investigador,Home
7,La casa de Laforet,Torca accede a la casa de Laforet para interrogarlo por la noche,Torca goes and breaks into Laforet's house to interrogate him at night,40.461365,-3.639908,2,Torca,Laforet,,,,Low,No,Fictional,158,Sospechoso,Home
7,Arturo Soria,La parada del autobús donde Torca va después de interrogar a Laforet,Torca heads to this bus stop while escaping from Laforet's house after interrogating him,40.455905,-3.656147,1,Torca,,,,,High,Yes,Real,161,Investigador,Transport
7,Fuente de Cibeles,Lugar en el camino de Torca al regresar a casa después de la pelea con Del Campo,Torca walks by this landmark while returning home after fighting with Del Campo,40.419348,-3.693107,1,Torca,,,,,High,Yes,Real,167,Investigador,Monument
8,Un bar,"Bar donde hablan Laguna, Jandro y Torca","Bar where Laguna, Jandro, and Torca meet",40.434662,-3.665487,3,Torca,Jandro,Laguna,,,Medium,Yes,Mix,169,Investigador,Bar Restaurant
8,"Calle de la Puebla, Burgos",Torca llega a Burgos en autobús,Torca arrives via bus to Burgos,42.342561,-3.697369,1,Torca,,,,,Medium,No,Real,174,Investigador,Exterior
8,Hotelucho de Gran Vía,Torca regresa al hotel desde Burgos,Torca returns to his hotel after staying in Burgos,40.422082,-3.709056,1,Torca,,,,,Low,No,Fictional,178,Investigador,Home
8,Café en la calle Lope de Vega,Torca habla con Ribyero para decirle que no está listo para darle una entrevista,Torca meets with Ribeyro to inform him that he is not ready to interview him yet,40.413873,-3.698284,2,Torca,Ribeyro,,,,High,Yes,Real,182,Sospechoso,Bar Restaurant
8,Barbero,Barbero donde Del Campo lo aborda,Barbershop where Del Campo finds Torca and captures him at gunpoint,40.417926,-3.704409,2,Torca,Del Campo,,,,Medium,No,Fictional,185,Investigador,Business
8,Calle Carretas,"Parte del camino que toman Del Campo, el rapado y Torca","Part of the route taken by Torca, Del Campo and ""el rapado""",40.415392,-3.703198,2,Torca,Del Campo,,,,High,Yes,Real,187,Sospechoso,Exterior
8,Calle Cádiz,"Parte del camino que toman Del Campo, el rapado y Torca","Part of the route taken by Torca, Del Campo and ""el rapado""",40.415831,-3.702579,2,Torca,Del Campo,,,,High,Yes,Real,188,Sospechoso,Exterior
8,Hotel ME Madrid Reina Victoria,"Del Campo lleva a Torca al suite de Laforet, donde le ofrece el puesto de Marsé","Del Campo takes Torca to Laforet's suite, where Torca is offered Marsé's old job in the organization",40.414521,-3.701463,3,Torca,Del Campo,Laforet,,,High,Yes,Mix,188,Sospechoso,Hotel
9,Una cafetería,Rodrigo y Torca habla de Philby y la investigación,Rodrigo and Torca meet here to talk about the investigation,40.422005,-3.709516,2,Torca,Rodrigo,,,,Low,No,Fictional,201,Investigador,Bar Restaurant
9,Chalet de Marsé y Adriana,Torca recoge información sobre el piso de Adriana y Marsé,Torca gathers information on Adriana and Marsé's home,40.447183,-3.682885,1,Torca,,,,,Low,No,Fictional,203,Investigador,Home
9,Una cafetería,Torca y Luis hablan sobre la posibilidad de trabajar juntos,Torca and Luis meet to discuss working together,40.425026,-3.687235,2,Torca,Luisito,,,,Low,No,Fictional,206,Investigador,Bar Restaurant
9,Oficina de Laguna & Campbell,Torca elabora sus condiciones para poder empezar a trabajar con Luis,Torca outlines his conditions for working with Luis,40.425368,-3.686833,2,Torca,Luisito,,,,Low,No,Fictional,208,Investigador,Business
9,Un banco,Torca y Luis van al banco para ver los dossieres y el disco duro,Torca and Luis go to a bank to view the hard drive and dossiers,40.425492,-3.686409,2,Torca,Luisito,,,,Low,No,Fictional,210,Investigador,Business
9,"Un ""restaurante de la zona""",Torca y Luis comen,Torca and Luis eat here,40.425714,-3.687173,2,Torca,Luisito,,,,Low,No,Fictional,213,Investigador,Bar Restaurant
9,Aeropuerto Madrid-Barajas,Torca espía a Adriana y la sigue,Torca spies on Adriana and follows her,40.489831,-3.579491,2,Torca,Adriana,,,,High,Yes,Real,218,Sospechoso,Transport
9,Chalet de Marsé y Adriana,Torca le ofrece ayuda a Adriana después de acceder a su casa,Torca offers to help Adriana after breaking into her home,40.447183,-3.682885,1,Torca,,,,,Low,No,Fictional,221,Investigador,Home
10,El Hotel InterContinental,Torca infiltra en un evento para Cristiano Ronaldo,Torca infiltrates an award ceremony featuring Cristiano Ronaldo,40.436322,-3.690274,1,Torca,,,,,High,Yes,Mix,235,Sospechoso,Hotel
11,Cobo Calleja,Torca y Jandro llegan al lugar de la transacción,Torca and Jandro arrive at the transaction location,40.265653,-3.749177,2,Torca,Jandro,,,,High,Yes,Real,258,Investigador,Business
11,El apartamento de Torca,Torca regresa a su apartamento y habla con Luisito sobre Mo,Torca returns to his apartment and talks with Luisito about Mo,40.420931,-3.70692,1,Torca,,,,,Low,No,Fictional,256,Investigador,Municipal
11,La oficina de Adriana y sus socias,Torca está con Adriana para hablar de la transacción,Torca is with Adriana here to discuss plans for the transaction,40.441881,-3.677645,2,Torca,Adriana,,,,Low,No,Fictional,262,Investigador,Business
11,Calle Cartagena,Torca y Adriana van a un garaje secreto donde escondieron el coche de Marsé,Adriana takes Torca to a secret garage where she hid Marsé's car,40.441616,-3.67511,2,Torca,Adriana,,,,Low,No,Fictional,263,Investigador,Exterior
11,Cobo Calleja,"Torca, Adriana, Olga, Mo, y Jandro intentan hacer la transaccion","Torca, Adriana, Olga, Mo y Jandro attempt the transaction",40.265653,-3.749177,5,Torca,Jandro,Adriana,Olga,Mo,High,Yes,Real,266,Investigador,Business
11,Bar de camioneros,Torca y Jandro deciden qué hacer despues de dejar a Adriana en un lugar seguro,Torca and Jandro discuss what to do next after leaving Adriana in a safe location,40.326164,-3.724989,3,"Torca, Jandro, Adriana",Jandro,Adriana,,,Low,No,Fictional,271,Investigador,Bar Restaurant
11,Desguace de coches de Vallecas,Torca y Jandro venden el coche a un socio de Jandro,Torca and Jandro sell the car used in the transaction to Jandro's friend,40.390919,-3.664637,2,"Torca, Jandro",Jandro,,,,Medium,No,Mix,272,Investigador,Business
11,Aparcamiento subterráneo de Vázquez de Mella,Jandro deja la furgoneta allí,Jandro leaves the van here,40.420689,-3.699312,2,"Torca, Jandro",Jandro,,,,High,Yes,Real,273,Investigador,Municipal
11,El apartamento de Torca,Torca y Luis comen y analizan los dossieres del maletín,Torca and Luis eat and discuss the dossiers here,40.420931,-3.70692,2,"Torca, Jandro",Jandro,,,,Low,No,Fictional,273,Investigador,Home
11,Calle Cartagena,Torca y Jandro van a recuperar el dossier que faltan,Torca and Jandro go recover the missing dossier,40.441616,-3.67511,2,"Torca, Jandro",Jandro,,,,Low,No,Fictional,276,Sospechoso,Exterior
11,Estación de Atocha,"Jandro deja a Torca aquí, y Torca guarda el maletín en la consigna","Jandro leaves Torca here, and Torca leaves the briefcase in left luggage",40.406946,-3.691905,1,Torca,,,,,High,Yes,Real,278,Investigador,Transport
12,Cafetería,Luisito y Torca hablan de los dossieres y de Mo,"Luisito and Torca discuss strategy, dossiers, Mo",40.42394,-3.692599,2,Torca,Luisito,,,,Low,No,Fictional,279,Investigador,Bar Restaurant
12,Un banco,Torca y Luis pasan por el banco donde está el disco duro,Torca and Luis go to the bank where the hard drive is,40.425492,-3.686409,2,Torca,Luisito,,,,Low,No,Fictional,280,Investigador,Business
12,Casa de los padres de Adriana,Torca y Adriana hablan sobre los Dossieres,Torca and Adriana discuss the dossiers,40.451215,-3.774208,2,Torca,Adriana,,,,Low,No,Fictional,283,Sospechoso,Home
12,Parque,Torca y Adriana hablan sobre los Dossieres,Torca and Adriana discuss the dossiers,40.450987,-3.777457,2,Torca,Adriana,,,,Low,No,Fictional,284,Sospechoso,Municipal
12,Banco,Torca y Adriana hablan sobre los Dossieres,Torca and Adriana discuss the dossiers,40.458465,-3.783505,2,Torca,Adriana,,,,Low,No,Fictional,285,Sospechoso,Business
12,Bar,Torca acusa a Hernandez de tratar de comprar los dossieres,Torca accuses Hernandez of attempting to buy the dossiers,40.459396,-3.779913,2,Torca,Hernandez,,,,Low,No,Fictional,286,Sospechoso,Bar Restaurant
12,Torre de Cristal,Torca habla con Laforet y ofrece vender los dossieres,Torca speaks with Laforet and offers to sell him the dossiers,40.478337,-3.686934,2,Torca,Laforet,,,,High,Yes,Real,288,Investigador,Monument
12,Hotelucho de Gran Vía,"Torca espera a Nerea, quien sale del trabajo",Torca waits for Nerea who is about to get off work,40.422082,-3.709056,2,Torca,Nerea,,,,Low,No,Fictional,291,Investigador,Home
12,Piso de Ramón Ribeyro,Torca entra en el piso de Ribeyro y le convence que publique un artículo sobre Barriocanales,Torca breaks into Ribeyro's apartment and convinces him to publish an article on Barriocanales,40.596625,-3.703556,2,Torca,Ribeyro,,,,Medium,No,Mix,292,Investigador,Home
12,Hotel en San Sebastián,Alojamiento para Torca y Nerea en San Sebastián,Where Torca and Nerea stay in San Sebastián,43.30826,-1.980041,2,Torca,Nerea,,,,Medium,No,Mix,297,Investigador,Hotel
13,Piso de Olga,Torca va a ver a Olga sobre las amenazas de Mo,Torca goes to visit Olga due to Mo's threats,40.456278,-3.676807,2,Torca,Olga,,,,Low,No,Fictional,312,Investigador,Home
13,Casa de los padres de Adriana,"Torca y Adriana hablan sobre Mo, Olga, y las amenazas",Torca and Adriana discuss Mo's threats,40.451215,-3.774208,2,Torca,Adriana,,,,Low,No,Fictional,283,Investigador,Home
13,Oficina de la Fundación Espachina,Torca va a ver a Mo y habla de los dossieres,Torca goes to see Mo and talk about the dossiers,40.450924,-3.653278,2,Torca,Mo,,,,Low,No,Fictional,316,Víctima,Business
13,Oficina de Laguna & Campbell,"Torca recoge sus pertenecias, incluyendo el Glock","Torca collects his things, including his Glock",40.425368,-3.686833,2,Torca,Luisito,,,,Low,No,Fictional,319,Investigador,Business
13,Oficina de Laguna & Campbell,Torca habla con Francisco Cifuentes,Torca speaks with Francisco Cifuentes,40.425368,-3.686833,2,Torca,Luisito,,,,Low,No,Fictional,323,Investigador,Business
13,Estadio de Santiago Bernabéu,Torca habla con Mo para tratar de vender el maletín otra vez,Torca meets with Mo in order to attempt to sell the briefcase again,40.453089,-3.688314,2,Torca,Mo,,,,High,Yes,Real,324,Víctima,Monument
13,Piso de Mo,"Torca infiltra en el piso de Mo, y lo mata con una droga que simula un infarto",Torca breaks into Mo's house and kills him with a drug that simulates a heart attack,40.459128,-3.771099,2,Torca,Mo,,,,Low,No,Fictional,328,Cuerpo,Home
13,Estadio de Santiago Bernabéu,Torca regresa al estadio para vender el dossier a Krauze,Torca returns here to sell the dossier to Krause,40.453089,-3.688314,2,Torca,Krauze,,,,High,Yes,Real,332,Investigador,Monument
14,Paseo de la Castellana,Torca y Krauze caminan juntos,Torca and Krause walk together here,40.45336,-3.689528,2,Torca,Krauze,,,,Medium,No,Real,336,Investigador,Exterior
14,Entre La Paz y las Cuatro Torres,Torca y Krauze salen del todoterreno,Torca and Krause get out of the 4x4 here,40.479556,-3.685094,2,Torca,Krauze,,,,Medium,No,Real,339,Investigador,Exterior
