Chapter,Location,Context Esp,Context Eng,Latitude,Longitude,Number of Characters,Character 1,Exactness,Exactness old,Exact,Reality,Page,Section,Old category,Category,Structure Type
,el Kentucky,"un bar en el Raval, Bru estaba allí con Laura y lleva a los policías allí","A bar in the Raval neighborhood, Marcel B was here with Laura and takes the police here",41.377693,2.174699,,,1,High,Yes,Real,101,4,Bru y Laura,Sospechoso,Bar Restaurant
,el mercado de La Boquería,Bru había dejado el coche en el aparcamiento la noche de la desaparición de Laura,Bru left his car in the parking garage the night of Laura's disappearance,41.381732,2.171585,,,1,High,Yes,Real,103,4,Bru,Sospechoso,Municipal
,la comisaría de Cerdañola,Bru está aquí para ver el cuerpo de Laura,Bru is here to view Laura's body,41.48559675,2.124028603,,,1,High,Yes,Real,109,4,Bru,Víctima,Municipal
,Hospital Clínico de Barcelona,el cuerpo de Laura es transportado al morgue aquí,Laura's body is transported to the morgue here,41.389749,2.152221,,,1,High,Yes,Real,109,4,narrator,Víctima,Municipal
,la comisaría de Cerdañola,Manuela Vázquez aparenta una enfermedad para no hablar con la prensa,Manuela V fakes an illness in order to not have to talk to the press,41.48599925,2.124159381,,,1,High,Yes,Real,58,3,Mozos,Investigador,Municipal
,el restaurante Hispània de Arenys de Mar,"los padres de Laura comen con el cónsul Italiano, Dante Braccalente","Laura's parents eat with the Italian consul, Dante B",41.571221,2.532542,,,1,High,Yes,Real,67,3,las señoras Cremona-Hogarth,Víctima,Bar Restaurant
,la facultad de Filosofía y Letras,una asamblea/manifestacián sobre las desapariciones de Iliescu y Cremona,An assembly/protest regarding the disappearances of Iliescu and Cremona,41.502534,2.107509,,,2,Medium,Yes,Real,71,3,narrator,Víctima,Municipal
,la comisaría de Cerdañola,"los padres de Laura estan allí para ver el video de la cámera de seguridad de los estudios de TV3, identifican a Marcel Bru","Laura's parents are here in order to watch the security footage from outside the TV3 studios, they identify Marcel Bru",41.48559675,2.123605397,,,1,High,Yes,Real,77,3,las señoras Cremona-Hogarth,Víctima,Municipal
,la comisaría de Cerdañola,Rosa Casasaies y Doménica Arrigo denuncian la desaparición de Laura Cremona,Rosa C and Doménica A report the disappearance of Laura C,41.486248,2.123817,,,1,High,Yes,Real,42,2,Mozos,Investigador,Municipal
,los estudios de TV3,"Según Manuela Vázquez, nadie sale caminando de los estudios de televisión","According to Manuela Vazquez, noone walks to/from the TV3 television studios",41.374588,2.070663,,,1,High,Yes,Real,55,2,Mozos,Investigador,Business
,la pensión La Palomera,"lugar de residencia de Iliescu en Barcelona, pero solamente está aquí durante dos días en agosto","Iliescu's residence in Barcelona, only here two days in August before moving again",41.379453,2.168721,,,5,Low,No,Fictional,27,2,Iliescu,Sospechoso,Hotel
,Bucarest,"dirección permanente de Iliescu, pero Iliescu se había mudado","Iliescu's permanent address, but he has moved",44.426772,26.108026,,,5,Low,No,Fictional,27,2,Iliescu,Sospechoso,Home
,los estudios de TV3,Laura Cremona es entrevistada en el telediario de la noche,Laura Cremona is interviewed on the evening news,41.374048,2.070974769,,,1,High,Yes,Real,33,2,Laura,Investigador,Business
,el aeropuerto del Prat,Rosa Casasaies y Antoni Capllonc reciben a los padres de Laura Cremona,Rosa C and Antoni C greet Laura's parents,41.297821,2.083262,,,1,High,Yes,Real,47,2,las señoras Cremona-Hogarth,Investigador,Transport
,Milán,las señoras Cremona-Hogarth vienen de Milán,Ms. and Ms. Cremona-Hogarth live in Milan,45.464425,9.186577,,,5,No,Low,Fictional,48,2,las señoras Cremona-Hogarth,Víctima,Home
,la Universidad Autónoma de Barcelona,los padres de Laura Cremona reunen con las autoridades académicas,Laura's parents meet with academic authorities,41.50202,2.104511769,,,4,Low,No,Real,49,2,las señoras Cremona-Hogarth,Investigador,Municipal
,estación de tren de Bellaterra,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,41.500888,2.090515,,,1,High,Yes,Real,13,1,narrator,Investigador,Transport
,estación de tren de Cerdañola,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,41.497197,2.115333,,,1,High,Yes,Real,13,1,narrator,Investigador,Transport
,"la Vila Universitaria, UAB",carteles con la foto de Constantinu Iliescu,"posters displayed here with Constantinu Iliescu's picture, student apartments",41.49942944,2.097066559,,,2,Medium,Yes,Real,13,1,narrator,Investigador,Home
,Vila de Gràcia,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,41.408949,2.151883,,,3,Medium,No,Real,13,1,narrator,Investigador,Exterior
,el cine Verdi,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,41.404345,2.157777,,,1,High,Yes,Real,13,1,narrator,Investigador,Business
,el metro de Fontana,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,41.402629,2.152726,,,1,High,Yes,Real,13,1,narrator,Investigador,Transport
,el metro de Lesseps,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,41.405741,2.150406,,,1,High,Yes,Real,13,1,narrator,Investigador,Transport
,la oficina de Casasaies,Casasies se reune con los estudiantes sobre la desaparición de Iliescu,Meeting of Casasaies and Bellpuig with the students,41.502894,2.107509,,,2,Medium,No,Real,20,1,"Casasaies, Bellpuig, Laura, Bru, Doménica",Investigador,Municipal
,la Universidad Autónoma de Barcelona,ubicación del prólogo (con mapa),Location mentioned in prologue (book provides map),41.50256,2.1042,,,1,High,Yes,Real,11,1,narrator,Sospechoso,Municipal
,la facultad de Filosofía y Letras,ubicación del prólogo (con mapa),Location mentioned in prologue (book provides map),41.502714,2.107820769,,,1,High,Yes,Real,11,1,narrator,Sospechoso,Municipal
