Chapter,Location,Context esp,Context english,Latitude,Longitude,Number of Characters,Character 1,Character 2,Character 3,Exactness,Exact,Reality,Page,Section,Category,Structure Type,Date in novel
4,Casa de Montserrat,"Elena va a su casa por primera vez. La novela dice que es un edificio de ""alto standing"", no lo parece en realidad",,41.732309,1.823585,,,,,1,Yes,Real,43,,Víctima,Home,2010-11-13
5,Carretera BP-1417,"Elena vuelve de Manresa a Barcelona por las carreteras antiguas, para ver si hay algún coche accidentado",,41.439098,2.101698,,,,,1,Yes,Real,49,,Investigador,Transport,2010-11-13
5,Polígono Can Fava,"Calle del lluç, núm 3. Lugar donde Jordi toca en el grupo ""The Sathanic's Terror"". El lugar no existe. Parece que están en Poblenou según el comentario en p. 56",,41.403224,2.202681,,,,,5,No,Fictional,"49, 56",,Víctima,Business,2010-11-13
5,Casa okupada,"Jordi vive aquí, ubicación no exacta, la novela dice que es una calle sin salida detrás de Icaria, ""passatge Germinal"", que no existe. En mi opinión tendría que ser por esta zona de Icaria, la única con edificios ""okupables""",,41.394543,2.198621,,,,,4,No,Fictional,57,,Víctima,Home,2010-11-13
6,Trayecto de Elena en moto,Vuelve a casa después de averiguar donde vive Jordi,,41.391249,2.138756,,,,,1,Yes,Real,58,,Investigador,Transport,2010-11-13
6,Parking privado,Elena saca el coche para ir a la casa de Jordi,,41.40051,2.122792,,,,,1,Yes,Real,59,,Investigador,Transport,2010-11-14
6,Casa okupada,Elena aquí para hablar con Jordi,,41.394543,2.198621,,,,,4,No,Fictional,59,,Víctima,Home,2010-11-14
6,Parking cerca de la oficina de Solivellas,Elena viene en coche para investigar más,,41.395409,2.148433,,,,,1,Yes,Real,63,,Investigador,Transport,2010-11-14
6,Piso del comisario Calvo en Sants,"Elena cena con su amigo, el comisario Calvo, y su familia. No hay ubicación exacta",,41.375397,2.137145,,,,,5,No,Fictional,64,,Investigador,Home,2010-11-14
7,Estación de Sants,Elena se reune con Montserrat quien viene en tren. Irán las dos a Sitges,,41.37889,2.14021,,,,,1,Yes,Real,66,,Víctima,Transport,2010-11-15
7,Piso de Montserrat en Sitges,"Elena y Montserrat encuentran al Solivellas, muerto",,41.237302,1.821145,,,,,2,Yes,Real,68,,Dead Body,Home,2010-11-15
7,Un banco al lado de la entrada del cementerio,Elena lleva a Montserrat aquí mientras esperan la llegada de la ambulancia,,41.236846,1.817783,,,,,1,Yes,Real,70,,Víctima,Exterior,2010-11-15
8,Funeral de Solivellas,"Elena asiste al funeral, que tiene lugar 4 días después del descubrimiento de su cadaver.  Ubicación no específica, pero sí en Manresa.  Fecha no exacta",,41.724219,1.826682,,,,,3,No,Real,78,,Víctima,Monument,2010-11-20
8,Hotel Sofia,"Elena espía a un hombre de negocios para otro caso, recibe una llamada de Montserrat",,41.385894,2.123392,,,,,1,Yes,Real,79,,Investigador,Bar Restaurant,2010-11-22
9,Casa de Montserrat,Montserrat quiere contratar a Elena para seguir investigando el caso Solivellas,,41.732309,1.823585,,,,,1,Yes,Real,81,,Víctima,Home,2010-11-22
10,"Calle Verdi, Gràcia",Elena va a la casa de Mónica Ribó.  Ubicación no exacta.,,41.403962,2.156747,,,,,4,No,Fictional,88,,Sospechoso,Home,2010-11-23
10,Cafetería del Círculo de Lectores (Random House),Elena va andando desde Gràcia hasta aquí.  Ella y Jaume se preparan para ir al bar Sancho,,41.395745,2.148923,,,,,1,Yes,Real,94,,Investigador,Bar Restaurant,2010-11-23
11,Bar el Sancho,Elena y Jaume vuelven a entrevistarle al camarero,,41.395625,2.148813,,,,,2,Yes,Fictional,96,,Investigador,Bar Restaurant,2010-11-23
11,Parada de autobuses Avinguda diagonal,Elena vuelve a casa en autobús,,41.394279,2.150415,,,,,1,Yes,Real,99,,Investigador,Transport,2010-11-23
11,Delegación publicitaria de La Vanguardia,Elena aquí para obtener los datos sobre la esquela de los caganers.  La novela menciona que esta oficina ya no existe. Ubicación no exacta,,41.385663,2.167294,,,,,3,No,Fictional,99,,Investigador,Business,2010-11-24
11,Registro de sociedades (Registro Mercantil de Barcelona),"Elena busca más información sobre la sociedad de los caganers.  Aquí conoce a Matías, el que será su novio durante parte de la novela.",,41.367222,2.139289,,,,,1,Yes,Real,101,,Investigador,Municipal,2010-11-24
12,Casa del señor Pujades,Elena entrevista al mejor amigo de Solivellas,,41.56579,2.014416,,,,,1,Yes,Real,104,,Investigador,Home,2010-11-24
13,Casa de Montserrat,Elena encuentra a Montsina en el portal de la casa. Ha venido en coche desde Terrassa,,41.732309,1.823585,,,,,1,Yes,Real,111,,Víctima,Home,2010-11-24
14,Taller de Juli Ramis,"Elena le recoge para que pueda peritar la colección de caganers, no hay ubicación exacta",,41.3765,2.143682,,,,,5,No,Fictional,116,,Investigador,Business,2010-11-25
14,Casa de Montserrat,Juli averigua que los caganers son de poco valor,,41.732309,1.823585,,,,,1,Yes,Real,117,,Víctima,Home,2010-11-25
14,Oficina de Holmes and Holmes,Elena va a la oficina para coger otro caso,,41.391558,2.162883,,,,,3,No,Fictional,121,,Investigador,Business,2010-11-25
15,Casa de Montserrat,Elena aquí para abrir un sobre que llegó en nombre de Solivellas,,41.732309,1.823585,,,,,1,Yes,Real,125,,Víctima,Home,2010-11-26
16,Casa de Elena Martínez,Elena vuelve a casa en coche para ver los contenidos del CD que los chantajistas han mandado,,41.398626,2.123273,,,,,1,Yes,Real,130,,Investigador,Home,2010-11-26
17,Calle Canet con Mayor de Sarrià,Elena saca a su perro y lo deja suelto aquí en el tramo peatonal. Tiene un conflicto verbal con un vecino sobre el perro,,41.398214,2.122384,,,,,1,Yes,Real,134,,Investigador,Exterior,2010-11-26
19,Casa de Montserrat,Elena aquí para recoger el segundo CD,,41.732309,1.823585,,,,,1,Yes,Real,146,,Víctima,Home,2010-11-27
20,"Carrer del Banys Nous, taller de Josep Turudí","Elena le lleva los caganers para ser evaluados por un experto. No hay ubicación exacta, va en taxi",,41.382389,2.1749,,,,,4,No,Fictional,151,,Investigador,Business,2010-11-27
20,Terraza en Passeig de Joan de Borbó,Elena come aquí con Josep. No menciona el restaurante exacto,,41.380031,2.187337,,,,,5,No,Real,152,,Investigador,Bar Restaurant,2010-11-27
20,Basílica de Santa María del Mar,Elena visita a la iglesia después de comer,,41.383751,2.182018,,,,,1,Yes,Real,153,,Investigador,Monument,2010-11-27
21,Casa de Elena Martínez,Elena vuelve a casa y sale a cenar con su novio,,41.398626,2.123273,,,,,1,Yes,Real,155,,Investigador,Home,2010-11-27
21,Restaurante La Venta,Elena cena aquí con Matías,,41.416158,2.131651,,,,,1,Yes,Real,155,,Investigador,Bar Restaurant,2010-11-27
21,Casa de Matías en el Eixample,"Elena pasa parte de la noche aquí, no hay ubicación exacta",,41.391163,2.160143,,,,,5,No,Fictional,156,,Investigador,Home,2010-11-27
21,Casa de Elena Martínez,"Elena vuelve a casa porque Matías ronca, encuentra a su perro muerto",,41.398626,2.123273,,,,,1,Yes,Real,157,,Dead Body,Home,2010-11-28
22,Piso del comisario Calvo en Sants,Elena come con ellos después de la muerte del perro,,41.375397,2.137145,,,,,5,No,Fictional,165,,Investigador,Home,2010-11-28
23,"Pastelería La Confianza, Manresa","Elena va con el comisario Calvo para encontrar a Jordi.  La pastelería no existe, he usado uno real",,41.725675,1.823445,,,,,4,No,Fictional,170,,Investigador,Business,2010-11-28
24,Piso del comisario Calvo en Sants,Elena cena con ellos después de estar en Manresa,,41.375397,2.137145,,,,,5,No,Fictional,173,,Investigador,Home,2010-11-28
24,Casa de Elena Martínez,Vuelve muy tarde y Jaume le espera,,41.398626,2.123273,,,,,1,Yes,Real,173,,Investigador,Home,2010-11-28
24,Plaza de Artós,Elena espía al cubano para un caso secundario encargado de la agencia.,,41.395644,2.125676,,,,,2,No,Real,176,,Sospechoso,Exterior,2010-11-29
24,Plaza de Joaquim Pena,Elena espía al cubano que entra en un bar para desayunar aquí,,41.396668,2.128189,,,,,2,No,Real,177,,Sospechoso,Bar Restaurant,2010-11-29
24,Estación del metro Sarriá,"Elena le sigue al cubano, toma el tren, también para en un kiosco por el camino",,41.398577,2.12552,,,,,1,Yes,Real,178,,Sospechoso,Transport,2010-11-29
24,Estación del metro Muntaner,Elena y el cubano bajan aquí,,41.398394,2.142177,,,,,1,Yes,Real,178,,Sospechoso,Transport,2010-11-29
24,Piso de la amante del cubano,Elena deja al cubano aquí mientras pasa la mañana con su amante,,41.396752,2.145796,,,,,3,No,Fictional,178,,Sospechoso,Home,2010-11-29
25,"Calle Verdi, Gràcia",Elena va otra vez a la casa de Mónica Ribó.  Ubicación no exacta.,,41.403962,2.156747,,,,,4,No,Fictional,181,,Dead Body,Home,2010-11-29
25,Estación del metro Tres Torres,Elena y el comisario Calvo se reúnen aquí,,41.397825,2.130969,,,,,1,Yes,Real,183,,Investigador,Transport,2010-11-29
26,Parking privado,Elena saca el coche con el comisario Calvo para recoger a su perro muerto,,41.40051,2.122792,,,,,1,Yes,Real,185,,Investigador,Transport,2010-11-29
26,Bosque cerca de la carretera de les Aigues,Elena entierra a su perro aquí.  Ubicación no exacta,,41.420034,2.127267,,,,,4,No,Fictional,187,,Investigador,Exterior,2010-11-29
26,Casa de Elena Martínez,Elena vuelve a casa para ver qué hay en el segundo CD,,41.398626,2.123273,,,,,1,Yes,Real,190,,Investigador,Home,2010-11-29
27,Casa de Montserrat,"Elena viene en coche, es de noche",,41.732309,1.823585,,,,,1,Yes,Real,193,,Víctima,Home,2010-11-29
28,Cafetería al lado de la casa de Montserrat,Elena espera aquí después de discutir con Montserrat.  El lugar no existe,,41.732311,1.823662,,,,,3,No,Fictional,198,,Investigador,Bar Restaurant,2010-11-29
28,Parking público,Elena saca el coche para volver a casa. Ubicación no confirmada,,41.729371,1.824373,,,,,2,No,Real,198,,Investigador,Transport,2010-11-29
28,Casa de Elena Martínez,Elena vuelve a casa,,41.398626,2.123273,,,,,1,Yes,Real,200,,Investigador,Home,2010-11-29
29,Oficina de Holmes and Holmes,Elena hace un informe sobre el cubano,,41.391558,2.162883,,,,,3,No,Fictional,204,,Investigador,Business,2010-11-30
29,"Oficina de Virginia, carrer Mandri",Elena consulta a su amiga sobre las fotos de Liu. Ubicación no exacta,,41.402989,2.134112,,,,,3,No,Fictional,205,,Investigador,Business,2010-11-30
30,Bar del Hotel Majestic,Elena entrevista a Montsina aquí,,41.393385,2.163978,,,,,1,Yes,Real,212,,Investigador,Bar Restaurant,2010-12-1
31,Casa okupada,"Elena y Jaume van en moto a la casa, que había sido alojada",,41.394543,2.198621,,,,,4,No,Fictional,220,,Investigador,Home,2010-12-1
31,Círculo de lectores,"Jaume trabaja aquí, devuelven la moto",,41.395732,2.148967,,,,,1,Yes,Real,220,,Investigador,Business,2010-12-1
32,Comisaría Mossos carrer Bolívia,"Elena aquí para intentar entrevistarle con Jordi, arrestado después del desalojo de la casa okupada",,41.401272,2.189046,,,,,1,Yes,Real,222,,Investigador,Municipal,2010-12-1
32,Casa de Elena,"Elena va a casa en taxi para recoger los caganers, vuelve a la comisaría después",,41.398626,2.123273,,,,,1,Yes,Real,223,,Investigador,Home,2010-12-1
32,Comisaría Mossos carrer Bolívia,Elena vuelve para hablar con la policía,,41.401272,2.189046,,,,,1,Yes,Real,223,,Investigador,Municipal,2010-12-1
